,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference
325,2009-01-22 23:27:51,1232638071.0,stx,0.437,3.23,-83.4782608696,827.5,-29.4495814755,-54.0286793941
326,2007-04-21 02:41:10,1177094470.0,stx,0.472,21.58,10.3836317136,1472.5,25.5413791871,-15.1577474736
327,2007-05-21 21:00:11,1179752411.0,stx,0.467,20.86,6.70076726343,1525.099976,30.0259112973,-23.3251440339
328,2005-05-11 00:38:55,1115743135.0,srcl,0.424,49.04,0.0,1171.109985,0.0,0.0
329,2004-08-22 18:34:55,1093170895.0,srcl,0.45,47.21,-3.73164763458,1091.22998,-6.82087985101,3.08923221642
330,2007-02-21 22:35:47,1172068547.0,srcl,0.745,79.49,62.0921696574,1457.630005,24.4656798823,37.6264897751
331,2005-09-25 01:57:20,1127584640.0,twx,0.328,17.98,0.0,1214.619995,0.0,0.0
332,2007-04-27 09:50:13,1177638613.0,twx,0.58,20.98,16.6852057842,1494.069946,23.0071917267,-6.32198594246
333,2004-02-15 05:45:40,1076795140.0,twx,0.459,17.24,-4.11568409344,1152.109985,-5.14646640573,1.0307823123
334,2007-11-04 09:02:24,1194138144.0,twx,0.606,17.88,-0.55617352614,1508.439941,24.1902773879,-24.7464509141
335,2007-04-10 09:14:21,1176167661.0,twx,0.58,21.01,16.852057842,1448.390015,19.2463503781,-2.39429253604
336,2005-12-19 18:47:48,1134989268.0,twx,0.322,18.11,0.723025583982,1259.920044,3.72956555849,-3.0065399745
337,2008-12-04 08:07:25,1228349245.0,twx,0.634,9.11,-49.3325917686,845.219971,-30.4128061057,-18.919785663
338,2007-06-29 14:22:30,1183098150.0,twx,0.584,21.29,18.4093437152,1503.349976,23.7712191623,-5.36187544701
339,2005-02-18 08:13:03,1108685583.0,twx,0.368,18.05,0.389321468298,1201.589966,-1.07276589004,1.46208735834
340,2003-12-14 15:24:19,1071386659.0,twx,0.47,17.47,-2.83648498331,1071.209961,-11.8069877485,8.97050276515
341,2008-12-06 18:40:11,1228560011.0,twx,0.634,9.51,-47.1078976641,870.73999,-28.3117358858,-18.7961617783
342,2005-09-04 02:01:37,1125770497.0,twx,0.328,17.85,-0.723025583982,1221.589966,0.57383963945,-1.29686522343
343,2007-02-12 06:42:42,1171233762.0,twx,0.58,21.28,18.3537263626,1433.369995,18.0097479788,0.343978383793
344,2007-05-27 15:35:24,1180251324.0,twx,0.584,21.51,19.6329254727,1507.51001,24.1137159116,-4.48079043887
345,2006-01-11 02:27:33,1136917653.0,twx,0.322,17.5,-2.66963292547,1294.180054,6.55020165381,-9.21983457928
346,2006-12-06 03:08:30,1165345710.0,twx,0.54,20.56,14.3492769744,1412.900024,16.324449607,-1.97517263256
347,2004-11-11 14:01:45,1100152905.0,twx,0.401,17.03,-5.28364849833,1173.47998,-3.38706880912,-1.89657968921
348,2004-08-10 14:30:44,1092119444.0,twx,0.418,15.98,-11.1234705228,1079.040039,-11.1623352619,0.0388647390991
349,2006-10-31 04:30:58,1162240258.0,twx,0.396,19.94,10.9010011123,1377.939941,13.446176308,-2.54517519566
350,2007-04-26 15:07:27,1177571247.0,twx,0.58,20.95,16.5183537264,1494.25,23.0220156223,-6.5036618959
351,2004-06-07 21:11:52,1086613912.0,twx,0.431,17.22,-4.22691879867,1140.420044,-6.10890248024,1.88198368157
352,2005-04-08 02:12:49,1112897569.0,twx,0.368,17.88,-0.55617352614,1181.199951,-2.75148146232,2.19530793618
353,2006-08-15 18:29:31,1155637771.0,twx,0.396,16.07,-10.6229143493,1285.579956,5.84215320776,-16.465067557
354,2005-04-04 23:29:29,1112628569.0,lll,0.576,71.13,0.0,1176.119995,0.0,0.0
355,2007-03-07 07:14:45,1173222885.0,lll,0.857,85.57,20.3008575847,1391.969971,18.3527171477,1.94814043699
356,2004-10-27 05:22:04,1098825724.0,lll,0.695,64.36,-9.51778433854,1125.400024,-4.31248267316,-5.20530166537
357,2004-05-22 20:08:01,1085227681.0,lll,0.729,61.26,-13.8760016871,1088.680054,-7.43461053054,-6.44139115652
358,2007-04-13 20:38:05,1176467885.0,lll,0.857,89.92,26.4164206383,1452.849976,23.5290601449,2.88736049335
359,2004-06-23 11:34:56,1087961696.0,lll,0.729,64.52,-9.29284408829,1144.060059,-2.72590689184,-6.56693719645
360,2004-12-16 20:03:30,1103198610.0,lll,0.673,74.42,4.62533389568,1203.209961,2.30333351318,2.32200038251
361,2007-03-12 20:00:18,1173700818.0,gme,0.721,54.71,0.0,1406.599976,0.0,0.0
362,2007-04-04 22:40:49,1175697649.0,gme,0.622,32.98,-39.7185158106,1439.369995,2.32973265741,-42.048248468
363,2007-12-21 22:09:27,1198246167.0,gme,0.344,61.45,12.3195028331,1484.459961,5.53533245617,6.78417037695
364,2007-10-31 12:13:05,1193803985.0,gme,0.457,57.5,5.09961615792,1549.380005,10.1507202784,-5.05110412049
365,2004-09-28 01:55:00,1096307700.0,gme,0.0,17.92,-67.245476147,1110.060059,-21.0820362619,-46.1634398851
366,2005-04-27 12:08:14,1114574894.0,gme,0.067,24.58,-55.0721988668,1156.380005,-17.7889929809,-37.2832058859
367,2007-01-29 05:34:00,1170020040.0,gme,0.721,52.25,-4.49643575215,1420.619995,0.996731070611,-5.49316682276
368,2004-04-23 18:18:58,1082715538.0,gme,0.0,18.17,-66.7885212941,1140.599976,-18.9108491781,-47.877672116
369,2007-05-29 01:19:38,1180372778.0,gme,0.506,35.79,-34.5823432645,1518.109985,7.92762767685,-42.5099709413
370,2005-01-19 18:07:59,1106129279.0,gme,0.147,19.55,-64.2661305063,1184.630005,-15.7806039235,-48.4855265828
371,2007-07-18 00:00:46,1184688046.0,apc,1.408,52.46,0.0,1546.170044,0.0,0.0
372,2007-06-15 02:55:42,1181847342.0,apc,1.408,52.77,0.59092642013,1532.910034,-0.857603602622,1.44853002275
373,2003-10-27 03:51:53,1067197913.0,apc,0.719,41.81,-20.3011818528,1031.130005,-33.3106983283,13.0095164755
374,2006-10-28 02:52:41,1161975161.0,apc,0.289,46.52,-11.3229126954,1382.219971,-10.6036249788,-0.719287716607
375,2005-01-23 01:45:43,1106415943.0,apc,0.475,63.9,21.807091117,1175.410034,-23.9792519224,45.7863430395
